Bathrooms,Bedrooms,Built Year,Garage Space,Kitchens,Price,Square Feet,Property Type_Condominium,Property Type_Duplex,Property Type_Manufactured Home,Property Type_Multi Family,Property Type_Retail,Property Type_Single Family Residence,Property Type_Townhouse,Property Type_Unimproved Land,Property Type_Warehouse,City_Regina,City_Saskatoon
4,4,1982,2,1,599900,2527,0,0,0,0,1,0,0,0,0,0,1
3,3,2024,2,1,489900,1581,0,0,0,0,1,0,0,0,0,0,1
2,2,2012,1,1,310000,1087,1,0,0,0,0,0,0,0,0,1,0
3,3,2023,2,1,829900,1915,0,0,0,0,1,0,0,0,0,0,1
4,4,2000,2,1,1099900,2915,0,0,0,0,1,0,0,0,0,0,1
2,4,1957,2,1,399900,1195,0,0,0,0,0,1,0,0,0,0,1
1,2,1953,1,1,130000,660,0,0,0,0,0,1,0,0,0,1,0
2,3,1999,1,1,139900,1280,0,0,1,0,0,0,0,0,0,1,0
1,3,1910,1,1,79900,776,0,0,0,0,0,1,0,0,0,1,0
4,5,2011,2,1,843000,2612,0,0,0,0,1,0,0,0,0,1,0
2,4,1963,1,2,319999,1071,0,0,0,0,0,1,0,0,0,1,0
1,3,1962,2,1,134000,800,0,0,0,0,0,1,0,0,0,1,0
4,4,1995,2,1,879900,2613,0,0,0,0,1,0,0,0,0,0,1
2,3,1958,1,2,279900,1025,0,0,0,0,0,1,0,0,0,1,0
3,3,2024,1,1,384900,1340,0,0,0,0,1,0,0,0,0,1,0
1,2,1949,2,1,167000,610,0,0,0,0,0,1,0,0,0,1,0
2,4,1929,2,1,194000,870,0,0,0,0,0,1,0,0,0,1,0
3,3,2017,2,1,489000,1456,0,0,0,0,1,0,0,0,0,0,1
3,3,1998,1,1,315000,1113,0,0,0,0,1,0,0,0,0,0,1
2,2,1912,1,1,227500,1198,0,0,0,0,1,0,0,0,0,1,0
1,3,1928,1,1,179900,755,0,0,0,0,0,1,0,0,0,1,0
2,2,1985,1,1,484900,1616,0,0,0,0,0,0,1,0,0,0,1
2,1,1970,1,1,409900,1146,0,0,0,0,0,0,0,0,1,0,1
1,2,1984,1,1,165000,883,1,0,0,0,0,0,0,0,0,0,1
4,4,2003,2,1,489900,1795,0,0,0,0,1,0,0,0,0,1,0
2,2,1966,1,1,239900,780,0,0,0,0,0,1,0,0,0,0,1
1,1,1911,2,1,99900,567,1,0,0,0,0,0,0,0,0,1,0
4,5,1988,3,1,2099900,3347,0,0,0,0,1,0,0,0,0,0,1
1,3,1927,1,1,179000,1161,0,0,0,0,0,1,0,0,0,1,0
1,2,1979,1,1,169900,990,1,0,0,0,0,0,0,0,0,1,0
1,3,1924,1,1,244900,1150,0,0,0,0,0,1,0,0,0,1,0
2,1,1984,1,1,399000,984,1,0,0,0,0,0,0,0,0,0,1
3,3,1975,2,1,249900,1593,0,0,0,0,1,0,0,0,0,1,0
1,3,1948,2,1,230000,937,0,0,0,0,0,1,0,0,0,1,0
3,5,1976,1,1,449000,1431,0,0,0,0,0,1,0,0,0,0,1
3,3,2022,2,1,569900,1625,0,0,0,0,1,0,0,0,0,0,1
2,4,2014,2,2,249888,905,0,0,0,0,0,1,0,0,0,1,0
4,5,2013,2,1,369500,2400,0,0,0,0,1,0,0,0,0,0,1
2,4,1983,2,1,329900,832,0,0,0,0,0,1,0,0,0,1,0
3,3,2023,1,1,456700,1476,0,0,0,0,1,0,0,0,0,1,0
3,5,2024,2,2,379900,1422,0,0,0,0,0,1,0,0,0,1,0
2,4,1924,2,2,499900,2772,0,0,0,0,1,0,0,0,0,0,1
1,2,1973,1,1,159900,808,1,0,0,0,0,0,0,0,0,0,1
2,5,1965,1,1,325000,864,0,0,0,0,0,1,0,0,0,0,1
3,3,1928,1,1,685000,1776,0,0,0,0,1,0,0,0,0,0,1
2,2,2019,0,1,244900,1004,0,0,0,0,0,0,1,0,0,0,1
4,4,2015,1,1,419900,1329,0,0,0,0,1,0,0,0,0,0,1
2,2,1985,1,1,209900,1184,1,0,0,0,0,0,0,0,0,0,1
2,2,1948,2,1,299900,1340,0,0,0,0,1,0,0,0,0,0,1
4,4,2014,2,2,379900,1450,0,0,0,0,1,0,0,0,0,0,1
2,3,1912,1,1,349900,1284,0,0,0,0,1,0,0,0,0,0,1
1,4,1963,1,1,314000,1494,0,0,0,0,0,1,0,0,0,1,0
3,5,1965,1,1,599900,1414,0,0,0,0,1,0,0,0,0,0,1
3,3,1976,1,1,359999,1200,0,0,0,0,0,1,0,0,0,1,0
2,2,2016,0,1,233500,938,1,0,0,0,0,0,0,0,0,0,1
2,4,1975,1,1,219900,1016,0,0,0,0,1,0,0,0,0,1,0
4,4,2010,1,1,264900,1797,1,0,0,0,0,0,0,0,0,0,1
4,4,2011,2,2,679000,1990,0,0,0,0,1,0,0,0,0,0,1
1,2,1950,1,1,159900,680,0,0,0,0,0,1,0,0,0,0,1
1,2,1954,1,1,304900,700,0,0,0,0,0,1,0,0,0,0,1
4,4,2014,2,1,479900,1402,0,0,0,0,1,0,0,0,0,1,0
2,4,2024,1,1,374900,1459,0,0,0,0,1,0,0,0,0,0,1
1,2,1976,1,1,99000,909,0,0,0,0,0,0,1,0,0,1,0
4,4,1992,2,1,585000,1924,0,0,0,0,1,0,0,0,0,1,0
3,3,2011,2,1,469900,1660,0,0,0,0,1,0,0,0,0,1,0
1,2,1921,1,1,119900,620,0,0,0,0,0,1,0,0,0,0,1
3,3,1983,2,1,649900,2363,0,0,0,0,1,0,0,0,0,0,1
2,5,1957,1,2,310000,1152,0,0,0,0,0,1,0,0,0,0,1
3,5,2003,2,1,694900,1747,0,0,0,0,0,1,0,0,0,0,1
3,3,2024,1,1,384900,1340,0,0,0,0,1,0,0,0,0,1,0
1,2,2006,1,1,214900,872,1,0,0,0,0,0,0,0,0,0,1
3,3,2024,2,1,459900,1404,0,0,0,0,1,0,0,0,0,0,1
1,1,1968,0,1,109900,628,1,0,0,0,0,0,0,0,0,0,1
2,5,1978,2,1,286900,993,0,0,0,0,0,1,0,0,0,1,0
1,3,1928,1,1,100000,880,0,0,0,0,0,1,0,0,0,1,0
3,2,2016,1,1,359900,1000,0,0,0,0,1,0,0,0,0,0,1
3,3,2012,2,1,389900,1304,0,0,0,0,1,0,0,0,0,1,0
2,4,1945,1,1,304900,792,0,0,0,0,0,1,0,0,0,1,0
3,3,1961,1,1,429900,1798,0,0,0,0,0,1,0,0,0,1,0
3,3,2024,1,1,485900,1460,0,0,0,0,1,0,0,0,0,0,1
3,5,1912,1,3,535000,1980,0,0,0,0,1,0,0,0,0,0,1
2,2,2001,2,1,369900,1216,1,0,0,0,0,0,0,0,0,0,1
1,1,1979,2,1,77900,646,1,0,0,0,0,0,0,0,0,1,0
4,5,1966,3,1,949900,3239,0,0,0,0,1,0,0,0,0,0,1
2,5,1951,2,2,339900,1236,0,0,0,0,0,1,0,0,0,1,0
2,2,1990,1,1,379900,1798,1,0,0,0,0,0,0,0,0,1,0
2,2,2015,1,1,429900,1261,1,0,0,0,0,0,0,0,0,0,1
3,2,2024,2,1,434900,1107,0,0,0,0,1,0,0,0,0,0,1
2,3,1978,0,1,369000,1320,0,0,0,0,0,1,0,0,0,0,1
4,5,1977,1,3,489900,2650,0,0,0,0,1,0,0,0,0,1,0
4,5,2018,2,2,824000,1759,0,0,0,0,1,0,0,0,0,0,1
4,5,2014,3,1,874900,1901,0,0,0,0,1,0,0,0,0,1,0
2,4,1962,2,1,369900,1210,0,0,0,0,0,1,0,0,0,1,0
2,4,2010,1,2,329900,1020,0,0,0,0,0,1,0,0,0,1,0
3,3,1980,1,1,427600,1525,0,0,0,0,1,0,0,0,0,0,1
2,3,2015,1,1,294900,1256,0,0,0,0,0,0,1,0,0,0,1
2,3,1949,1,1,125000,640,0,0,0,0,0,1,0,0,0,1,0
1,2,1965,2,1,330000,1440,0,1,0,0,0,0,0,0,0,1,0
4,4,2006,2,1,499900,1722,0,0,0,0,1,0,0,0,0,1,0
2,2,2012,1,1,389900,1356,1,0,0,0,0,0,0,0,0,1,0
3,2,1976,1,1,279900,1060,0,0,0,0,0,1,0,0,0,0,1
1,2,1982,1,1,129900,829,1,0,0,0,0,0,0,0,0,0,1
4,5,2015,2,1,1099000,3163,0,0,0,0,1,0,0,0,0,0,1
2,3,1948,1,2,299900,850,0,0,0,0,0,1,0,0,0,0,1
2,2,2011,2,1,547900,1256,0,0,0,0,0,0,1,0,0,1,0
3,2,2005,1,1,329900,1181,0,0,0,0,1,0,0,0,0,1,0
3,4,1976,1,1,349000,1267,0,0,0,0,0,1,0,0,0,1,0
3,5,2008,2,1,778900,1772,0,0,0,0,0,1,0,0,0,1,0
2,2,1925,1,1,298000,935,0,0,0,0,0,1,0,0,0,1,0
1,1,1934,0,1,245000,608,0,0,0,0,0,1,0,0,0,0,1
4,4,2014,2,1,635000,2109,0,0,0,0,1,0,0,0,0,1,0
2,3,1961,2,1,239900,1200,0,0,0,0,1,0,0,0,0,1,0
4,4,2013,2,1,390000,1816,0,0,0,0,1,0,0,0,0,1,0
4,5,2018,2,1,1249000,2173,0,0,0,0,0,1,0,0,0,1,0
1,1,1982,1,1,139000,667,1,0,0,0,0,0,0,0,0,0,1
3,3,2013,2,1,829900,2295,0,0,0,0,1,0,0,0,0,0,1
1,3,1920,1,1,154900,784,0,0,0,0,0,1,0,0,0,1,0
3,4,1978,1,1,314900,1057,0,0,0,0,0,1,0,0,0,1,0
2,2,2009,1,1,624900,1346,1,0,0,0,0,0,0,0,0,0,1
3,3,2018,1,1,379900,1120,0,0,0,0,1,0,0,0,0,0,1
3,5,1999,2,1,610000,1266,0,0,0,0,0,1,0,0,0,0,1
4,5,2004,2,1,829900,2280,0,0,0,0,1,0,0,0,0,0,1
1,1,1914,1,1,129900,442,1,0,0,0,0,0,0,0,0,1,0
3,4,1986,2,1,389900,1302,0,0,0,0,0,1,0,0,0,1,0
4,5,2019,3,3,2300000,3448,0,0,0,0,1,0,0,0,0,1,0
3,4,2024,2,1,562900,1830,0,0,0,0,1,0,0,0,0,1,0
2,1,1912,1,1,379900,1518,0,0,0,0,0,0,0,0,1,0,1
4,5,1978,2,1,559900,2090,0,0,0,0,1,0,0,0,0,0,1
3,4,1967,2,1,589900,2420,0,0,0,0,1,0,0,0,0,0,1
3,3,2023,1,1,825900,1605,0,0,0,0,0,0,1,0,0,0,1
1,2,1943,1,1,150000,544,0,0,0,0,0,1,0,0,0,1,0
1,4,1920,0,1,150000,707,0,0,0,0,0,1,0,0,0,0,1
2,4,1953,1,2,449900,1096,0,0,0,0,0,1,0,0,0,0,1
1,2,2013,2,1,232900,954,0,0,0,0,0,0,1,0,0,0,1
2,4,1964,1,1,330000,1178,0,0,0,0,0,1,0,0,0,1,0
4,5,1968,2,1,569900,2252,0,0,0,0,1,0,0,0,0,0,1
4,5,2009,0,2,234000,1373,0,0,0,0,1,0,0,0,0,0,1
1,2,1911,2,1,90000,717,0,0,0,0,0,1,0,0,0,1,0
3,3,1995,2,1,1450000,3244,0,0,0,0,0,1,0,0,0,1,0
2,3,1921,1,1,209900,800,0,0,0,0,0,1,0,0,0,0,1
3,5,2008,2,2,649900,1308,0,0,0,0,0,1,0,0,0,0,1
1,3,1922,2,1,199900,1034,0,0,0,0,0,1,0,0,0,1,0
3,4,1995,2,1,449900,1298,0,0,0,0,0,1,0,0,0,1,0
1,1,1968,1,1,209900,732,1,0,0,0,0,0,0,0,0,0,1
2,2,2010,1,1,399900,1078,1,0,0,0,0,0,0,0,0,0,1
2,2,2012,1,1,262900,909,0,0,0,0,1,0,0,0,0,1,0
4,4,2013,2,1,549000,1324,0,0,0,0,1,0,0,0,0,0,1
1,2,1983,1,1,154000,884,1,0,0,0,0,0,0,0,0,0,1
4,4,2010,2,1,499900,1498,0,0,0,0,1,0,0,0,0,1,0
1,0,1967,2,1,74000,301,1,0,0,0,0,0,0,0,0,1,0
4,5,1959,2,3,450000,3600,0,0,0,0,1,0,0,0,0,1,0
3,4,2001,2,1,859000,1919,0,0,0,0,0,1,0,0,0,1,0
4,4,2013,1,1,435000,1803,0,0,0,0,1,0,0,0,0,0,1
3,3,2023,1,1,447900,1412,0,0,0,0,1,0,0,0,0,1,0
2,4,1952,1,2,319900,963,0,0,0,0,0,1,0,0,0,0,1
2,2,1993,1,1,314900,1076,1,0,0,0,0,0,0,0,0,0,1
3,5,1972,1,1,343500,1120,0,0,0,0,0,1,0,0,0,0,1
3,5,1929,1,2,474900,2164,0,0,0,0,1,0,0,0,0,0,1
2,2,2007,1,1,469900,1069,1,0,0,0,0,0,0,0,0,0,1
2,3,2015,2,1,364900,1200,0,0,0,0,1,0,0,0,0,0,1
3,4,2014,2,2,423900,1080,0,0,0,0,1,0,0,0,0,1,0
3,4,1973,2,1,615000,2262,0,0,0,0,1,0,0,0,0,1,0
2,3,1954,2,1,292000,815,0,0,0,0,0,1,0,0,0,1,0
4,5,1968,1,3,565000,1278,0,0,0,0,0,1,0,0,0,0,1
2,1,1984,1,1,429900,983,1,0,0,0,0,0,0,0,0,0,1
3,3,2024,2,1,699900,1619,0,0,0,0,1,0,0,0,0,0,1
3,4,1978,1,1,314900,1057,0,0,0,0,0,1,0,0,0,1,0
2,3,1976,1,1,244000,1467,0,0,0,0,0,0,1,0,0,1,0
4,4,2009,2,1,599900,2195,0,0,0,0,1,0,0,0,0,1,0
1,2,1980,1,1,184900,872,1,0,0,0,0,0,0,0,0,0,1
1,2,1921,1,1,269900,816,0,0,0,0,0,1,0,0,0,1,0
2,5,1974,1,1,309900,1076,0,0,0,0,0,1,0,0,0,1,0
3,3,2024,2,1,457900,1515,0,0,0,0,1,0,0,0,0,1,0
2,3,1955,1,1,317000,1069,0,0,0,0,0,1,0,0,0,1,0
1,2,1929,2,1,115000,720,0,0,0,0,0,1,0,0,0,1,0
4,5,2012,2,1,739000,2305,0,0,0,0,1,0,0,0,0,0,1
2,5,1957,2,2,409900,1110,0,0,0,0,0,1,0,0,0,0,1
1,3,1918,2,1,199000,954,0,0,0,0,0,1,0,0,0,1,0
1,3,1959,1,1,339900,960,0,0,0,0,0,1,0,0,0,0,1
1,2,1982,1,1,139900,829,1,0,0,0,0,0,0,0,0,0,1
3,5,2015,3,2,419900,1536,0,0,0,0,1,0,0,0,0,0,1
3,3,1978,0,1,340000,1259,0,0,0,0,0,1,0,0,0,0,1
2,4,1962,2,1,369900,1210,0,0,0,0,0,1,0,0,0,1,0
3,4,1980,2,1,539900,1968,0,0,0,0,1,0,0,0,0,1,0
1,1,1979,0,1,74900,653,1,0,0,0,0,0,0,0,0,0,1
1,3,1948,1,1,199900,900,0,0,0,0,0,1,0,0,0,0,1
